process,pid,timestamp,cpu_percent,mem_mb
fatigue_coroutine,2092095,1779025802.444,0.00,12.34
fatigue_coroutine,2092095,1779025803.447,20.90,51.27
fatigue_coroutine,2092095,1779025804.463,25.60,104.36
fatigue_coroutine,2092095,1779025805.476,19.80,118.02
fatigue_coroutine,2092095,1779025806.492,17.70,125.24
fatigue_coroutine,2092095,1779025807.494,21.00,145.86
fatigue_coroutine,2092095,1779025808.510,18.70,168.03
fatigue_coroutine,2092095,1779025809.526,18.70,168.03
fatigue_coroutine,2092095,1779025810.535,21.80,178.09
fatigue_coroutine,2092095,1779025811.549,2.00,178.09
fatigue_coroutine,2092095,1779025812.555,21.90,196.91
fatigue_coroutine,2092095,1779025813.562,19.90,200.00
fatigue_coroutine,2092095,1779025814.566,22.90,201.55
fatigue_coroutine,2092095,1779025815.572,21.90,201.55
fatigue_coroutine,2092095,1779025816.576,19.90,203.61
fatigue_coroutine,2092095,1779025817.579,22.90,203.61
fatigue_coroutine,2092095,1779025818.582,25.90,203.61
fatigue_coroutine,2092095,1779025819.589,27.80,203.61
fatigue_coroutine,2092095,1779025820.596,6.00,204.90
fatigue_coroutine,2092095,1779025821.597,16.00,204.90
fatigue_coroutine,2092095,1779025822.609,23.70,208.25
fatigue_coroutine,2092095,1779025823.620,21.80,208.25
fatigue_coroutine,2092095,1779025824.633,29.60,208.25
fatigue_coroutine,2092095,1779025825.634,22.00,208.25
fatigue_coroutine,2092095,1779025826.637,21.90,214.44
fatigue_coroutine,2092095,1779025827.645,25.80,244.34
fatigue_coroutine,2092095,1779025828.656,16.80,272.19
fatigue_coroutine,2092095,1779025829.658,6.00,277.60
fatigue_coroutine,2092095,1779025830.660,20.00,277.60
fatigue_coroutine,2092095,1779025831.665,21.90,292.55
fatigue_coroutine,2092095,1779025832.667,24.90,341.54
fatigue_coroutine,2092095,1779025833.680,24.70,341.54
fatigue_coroutine,2092095,1779025834.692,16.80,354.43
fatigue_coroutine,2092095,1779025835.702,28.70,354.43
fatigue_coroutine,2092095,1779025836.704,22.00,354.43
fatigue_coroutine,2092095,1779025837.705,6.00,354.43
fatigue_chan,2092097,1779025802.444,0.00,4.19
fatigue_chan,2092097,1779025803.447,19.90,4.19
fatigue_chan,2092097,1779025804.464,16.70,4.19
fatigue_chan,2092097,1779025805.476,14.80,4.19
fatigue_chan,2092097,1779025806.492,16.70,4.19
fatigue_chan,2092097,1779025807.494,14.00,4.19
fatigue_chan,2092097,1779025808.510,14.80,4.19
fatigue_chan,2092097,1779025809.526,16.70,4.19
fatigue_chan,2092097,1779025810.536,14.90,4.19
fatigue_chan,2092097,1779025811.549,13.80,4.19
fatigue_chan,2092097,1779025812.555,16.90,4.19
fatigue_chan,2092097,1779025813.563,12.90,4.19
fatigue_chan,2092097,1779025814.566,16.00,4.19
fatigue_chan,2092097,1779025815.572,14.90,4.19
fatigue_chan,2092097,1779025816.576,14.90,4.19
fatigue_chan,2092097,1779025817.580,15.90,4.19
fatigue_chan,2092097,1779025818.582,16.00,4.19
fatigue_chan,2092097,1779025819.589,16.90,4.19
fatigue_chan,2092097,1779025820.596,13.90,4.19
fatigue_chan,2092097,1779025821.597,17.00,4.19
fatigue_chan,2092097,1779025822.609,15.80,4.19
fatigue_chan,2092097,1779025823.620,13.80,4.19
fatigue_chan,2092097,1779025824.633,15.80,4.19
fatigue_chan,2092097,1779025825.635,15.00,4.19
fatigue_chan,2092097,1779025826.637,16.00,4.19
fatigue_chan,2092097,1779025827.645,15.90,4.19
fatigue_chan,2092097,1779025828.656,14.80,4.19
fatigue_chan,2092097,1779025829.658,13.00,4.19
fatigue_chan,2092097,1779025830.660,16.00,4.19
fatigue_chan,2092097,1779025831.665,13.90,4.19
fatigue_chan,2092097,1779025832.667,13.00,4.19
fatigue_chan,2092097,1779025833.680,15.80,4.19
fatigue_chan,2092097,1779025834.692,11.90,4.19
fatigue_chan,2092097,1779025835.702,13.90,4.19
fatigue_chan,2092097,1779025836.704,15.00,4.19
fatigue_chan,2092097,1779025837.706,13.00,4.19
fatigue_chan,2092097,1779025838.711,0.00,0.00
fatigue_copool,2092108,1779025802.445,0.00,9.25
fatigue_copool,2092108,1779025803.447,18.90,10.10
fatigue_copool,2092108,1779025804.464,17.70,13.67
fatigue_copool,2092108,1779025805.476,14.80,19.86
fatigue_copool,2092108,1779025806.493,26.60,19.86
fatigue_copool,2092108,1779025807.494,10.00,21.42
fatigue_copool,2092108,1779025808.510,10.80,21.42
fatigue_copool,2092108,1779025809.526,22.60,20.89
fatigue_copool,2092108,1779025810.536,23.80,37.87
fatigue_copool,2092108,1779025811.549,23.70,46.63
fatigue_copool,2092108,1779025812.555,19.90,46.63
fatigue_copool,2092108,1779025813.563,2.00,46.63
fatigue_copool,2092108,1779025814.566,24.90,57.20
fatigue_copool,2092108,1779025815.573,18.90,52.70
fatigue_copool,2092108,1779025816.576,23.90,46.36
fatigue_copool,2092108,1779025817.580,15.90,46.36
fatigue_copool,2092108,1779025818.582,14.00,43.40
fatigue_copool,2092108,1779025819.589,5.00,43.40
fatigue_copool,2092108,1779025820.596,29.80,44.80
fatigue_copool,2092108,1779025821.597,23.00,43.51
fatigue_copool,2092108,1779025822.609,21.80,43.45
fatigue_copool,2092108,1779025823.620,27.70,38.18
fatigue_copool,2092108,1779025824.633,1.00,38.18
fatigue_copool,2092108,1779025825.635,20.00,38.18
fatigue_copool,2092108,1779025826.637,22.90,33.14
fatigue_copool,2092108,1779025827.645,20.80,30.57
fatigue_copool,2092108,1779025828.656,15.80,30.56
fatigue_copool,2092108,1779025829.658,1.00,30.56
fatigue_copool,2092108,1779025830.660,21.00,30.56
fatigue_copool,2092108,1779025831.665,14.90,30.45
fatigue_copool,2092108,1779025832.667,23.90,30.45
fatigue_copool,2092108,1779025833.681,17.80,37.62
fatigue_copool,2092108,1779025834.692,8.90,37.62
fatigue_copool,2092108,1779025835.702,6.90,37.62
fatigue_copool,2092108,1779025836.704,27.90,32.83
fatigue_copool,2092108,1779025837.706,23.00,37.62
fatigue_copool,2092108,1779025838.711,17.90,43.37
fatigue_cocond,2092120,1779025802.445,0.00,14.89
fatigue_cocond,2092120,1779025803.447,2.00,19.79
fatigue_cocond,2092120,1779025804.464,1.00,19.79
fatigue_cocond,2092120,1779025805.476,2.00,19.79
fatigue_cocond,2092120,1779025806.493,1.00,19.79
fatigue_cocond,2092120,1779025807.494,1.00,19.79
fatigue_cocond,2092120,1779025808.510,1.00,19.79
fatigue_cocond,2092120,1779025809.526,1.00,19.79
fatigue_cocond,2092120,1779025810.536,2.00,19.79
fatigue_cocond,2092120,1779025811.549,1.00,19.79
fatigue_cocond,2092120,1779025812.556,2.00,19.79
fatigue_cocond,2092120,1779025813.563,1.00,19.79
fatigue_cocond,2092120,1779025814.566,1.00,19.79
fatigue_cocond,2092120,1779025815.573,1.00,19.79
fatigue_cocond,2092120,1779025816.576,2.00,19.79
fatigue_cocond,2092120,1779025817.580,2.00,19.79
fatigue_cocond,2092120,1779025818.582,0.00,19.79
fatigue_cocond,2092120,1779025819.589,2.00,19.79
fatigue_cocond,2092120,1779025820.596,1.00,19.79
fatigue_cocond,2092120,1779025821.597,2.00,19.79
fatigue_cocond,2092120,1779025822.609,1.00,19.79
fatigue_cocond,2092120,1779025823.620,1.00,19.79
fatigue_cocond,2092120,1779025824.633,2.00,19.79
fatigue_cocond,2092120,1779025825.635,1.00,19.79
fatigue_cocond,2092120,1779025826.637,2.00,19.79
fatigue_cocond,2092120,1779025827.645,0.00,19.79
fatigue_cocond,2092120,1779025828.656,2.00,19.79
fatigue_cocond,2092120,1779025829.658,1.00,19.79
fatigue_cocond,2092120,1779025830.660,2.00,19.79
fatigue_cocond,2092120,1779025831.665,1.00,19.79
fatigue_cocond,2092120,1779025832.667,1.00,19.79
fatigue_cocond,2092120,1779025833.681,2.00,19.79
fatigue_cocond,2092120,1779025834.692,1.00,19.79
fatigue_cocond,2092120,1779025835.702,0.00,0.00
fatigue_cocond,2092120,1779025837.706,0.00,20.07
fatigue_cocond,2092120,1779025838.711,1.00,20.07
fatigue_cocond,2092120,1779025839.713,0.00,0.00
